,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,flis.immigration.gov.kh,Cambodia,,$0+,,,-,
,dclib.moeys.gov.kh,Cambodia,,$250+,"2,000+",,Medium,
,edoc.moj.gov.kh,Cambodia,,$0+,,,-,
,preahsisowath.edu.kh,Cambodia,,$0+,,,-,
,attapp.7yhps.com,Cambodia,,$0+,,,-,
,ocic.com.kh,Cambodia,,$100+,,,-,
,fim.opendevelopmentcambodia.net,Cambodia,$133k+,$500+,"1,000+",,Medium,
,canadiabank.com.kh,Cambodia,,$100+,,,High,
,promotion.finatics.io,Cambodia,,$100+,,,-,
,insideouttravel.com,Cambodia,,$0+,,,-,
