,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,scb.co.th,Cambodia,,$5000+,"400,000+","10,000+",High,
,ababank.com,Cambodia,,$250+,,,-,
,smart.com.kh,Cambodia,,$1000+,500+,,Medium,
,metfone.com.kh,Cambodia,,$5000+,100+,,Medium,
,realestate.com.kh,Cambodia,,$50+,250+,,Medium,
,xilnex.com,Cambodia,,$2000+,,,-,
,promotion.finatics.io,Cambodia,,$100+,,,-,
,infinitysolutions.com,Cambodia,,$500+,,,-,
,canadiabank.com.kh,Cambodia,,$100+,,,High,
,k6.vip,Cambodia,,$0+,,,-,
