Technology Websites % child_link
Google Analytics | 2,259 | 34.17 | https://trends.builtwith.com/websitelist/Google-Analytics/Cambodia
Global Site Tag | 1,716 | 25.95 | https://trends.builtwith.com/websitelist/Global-Site-Tag/Cambodia
Facebook Domain Insights | 383 | 5.79 | https://trends.builtwith.com/websitelist/Facebook-Domain-Insights/Cambodia
Facebook Pixel | 331 | 5.01 | https://trends.builtwith.com/websitelist/Facebook-Pixel/Cambodia
Facebook Conversion Tracking | 293 | 4.43 | https://trends.builtwith.com/websitelist/Facebook-Conversion-Tracking/Cambodia
Facebook Signal | 220 | 3.33 | https://trends.builtwith.com/websitelist/Facebook-Signal/Cambodia
Flag Counter | 145 | 2.19 | https://trends.builtwith.com/websitelist/Flag-Counter/Cambodia
Baidu Analytics | 94 | 1.42 | https://trends.builtwith.com/websitelist/Baidu-Analytics/Cambodia
Google Conversion Tracking | 72 | 1.09 | https://trends.builtwith.com/websitelist/Google-Conversion-Tracking/Cambodia
Cloudflare Rocket Loader | 66 | 1 | https://trends.builtwith.com/websitelist/Cloudflare-Rocket-Loader/Cambodia
Fastly | 65 | 0.98 | https://trends.builtwith.com/websitelist/Fastly/Cambodia
Google Conversion Linker | 64 | 0.97 | https://trends.builtwith.com/websitelist/Google-Conversion-Linker/Cambodia
Snowplow | 38 | 0.57 | https://trends.builtwith.com/websitelist/Snowplow/Cambodia
Cloudflare Insights | 35 | 0.53 | https://trends.builtwith.com/websitelist/Cloudflare-Insights/Cambodia
Hubspot | 35 | 0.53 | https://trends.builtwith.com/websitelist/Hubspot/Cambodia
Supercounters | 35 | 0.53 | https://trends.builtwith.com/websitelist/Supercounters/Cambodia
Hotjar | 34 | 0.51 | https://trends.builtwith.com/websitelist/Hotjar/Cambodia
Cloudflare Web Analytics | 30 | 0.45 | https://trends.builtwith.com/websitelist/Cloudflare-Web-Analytics/Cambodia
New Relic | 29 | 0.44 | https://trends.builtwith.com/websitelist/New-Relic/Cambodia
LinkedIn Insights | 28 | 0.42 | https://trends.builtwith.com/websitelist/LinkedIn-Insights/Cambodia
Visitor Analytics | 27 | 0.41 | https://trends.builtwith.com/websitelist/Visitor-Analytics/Cambodia
TikTok Conversion Tracking Pixel | 26 | 0.39 | https://trends.builtwith.com/websitelist/TikTok-Conversion-Tracking-Pixel/Cambodia
Microsoft Clarity | 25 | 0.38 | https://trends.builtwith.com/websitelist/Microsoft-Clarity/Cambodia
Google Analytics IP Anonymization | 22 | 0.33 | https://trends.builtwith.com/websitelist/Google-Analytics-IP-Anonymization/Cambodia
51.la | 20 | 0.3 | https://trends.builtwith.com/websitelist/51.la/Cambodia
Google Optimize 360 | 20 | 0.3 | https://trends.builtwith.com/websitelist/Google-Optimize-360/Cambodia
StatCounter | 19 | 0.29 | https://trends.builtwith.com/websitelist/StatCounter/Cambodia
Trustpilot | 17 | 0.26 | https://trends.builtwith.com/websitelist/Trustpilot/Cambodia
Matomo | 16 | 0.24 | https://trends.builtwith.com/websitelist/Matomo/Cambodia
MailerLite | 12 | 0.18 | https://trends.builtwith.com/websitelist/MailerLite/Cambodia
Yandex Metrika | 11 | 0.17 | https://trends.builtwith.com/websitelist/Yandex-Metrika/Cambodia
Bing Universal Event Tracking | 11 | 0.17 | https://trends.builtwith.com/websitelist/Bing-Universal-Event-Tracking/Cambodia
Alexa Metrics | 10 | 0.15 | https://trends.builtwith.com/websitelist/Alexa-Metrics/Cambodia
Alexa Certified Site Metrics | 10 | 0.15 | https://trends.builtwith.com/websitelist/Alexa-Certified-Site-Metrics/Cambodia
Perfex | 10 | 0.15 | https://trends.builtwith.com/websitelist/Perfex/Cambodia
